unique_id,ds,RNN-median,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,10029,0.035188727,0.027619256,0.030195793,0.040252004,0.042710103
H1,10030,0.023626631,0.020253787,0.021566868,0.028306128,0.0280145
H1,10031,0.016401993,0.013342403,0.014337821,0.020178175,0.019766394
H1,10032,0.028534649,0.02467785,0.026150644,0.029736217,0.035168514
H1,10033,-0.0023085237,-0.0073894397,-0.004637156,0.0008399761,-0.001502384
H1,10034,0.02619128,0.0239724,0.023806563,0.03208713,0.03265565
H1,10035,0.002237397,0.0011594847,-0.0018296209,0.0043565696,0.0052246973
H1,10036,0.010288776,0.005660018,0.008217065,0.013047714,0.012383608
H1,10037,0.0051061204,0.00340289,0.0034295884,0.007876879,0.007288784
H1,10038,0.0019238334,-0.00026644696,-0.0019023893,0.0029569725,0.0053991876
H1,10039,0.020019166,0.017128035,0.01657593,0.026387427,0.026477119
H1,10040,0.0139157325,0.009981837,0.009976381,0.015581647,0.016664937
H1,10041,0.014408983,0.0126380995,0.010624165,0.017507022,0.01725721
H1,10042,0.0030082392,0.001735458,-0.000408496,0.0063867588,0.009654578
H1,10043,0.012748361,0.011411222,0.008313995,0.01525663,0.015495455
H1,10044,0.014216274,0.010547034,0.009470586,0.017905544,0.018008405
H1,10045,0.0010098263,-0.0002904695,-0.0025547775,0.004223263,0.005479144
H1,10046,0.002041527,-0.00092862616,-0.00086374185,0.0054740263,0.0052958117
H1,10047,-0.008734116,-0.011382865,-0.011199167,-0.007294337,-0.004329319
H1,10048,0.011814002,0.010309995,0.008687692,0.016907249,0.022053264
H1,10049,-0.0030177715,-0.004884277,-0.006159251,0.0003145861,8.9414185e-05
H1,10050,0.007378623,0.0037791093,0.005539734,0.016403966,0.017342819
H1,10051,-0.01051645,-0.011251491,-0.015026147,-0.0068267775,-0.0047176415
H1,10052,-0.0029774774,-0.0075660064,-0.010017408,-0.0020555821,-0.0023560612
H1,10053,0.0094287675,0.0052024904,0.006124231,0.013585163,0.012128983
H1,10054,0.017335834,0.011089101,0.0139229465,0.020542504,0.021109428
H1,10055,-0.009185284,-0.01283133,-0.01395192,-0.0073989215,-0.0062739947
H1,10056,-0.010305777,-0.014234254,-0.014915435,-0.0094772875,-0.008372277
H1,10057,-0.010381997,-0.012906147,-0.011805125,-0.0052551604,-0.0070144325
H1,10058,-0.0005792293,-0.003205645,-0.002408919,0.0018741874,0.005433701
H1,10059,-0.0011076415,-0.003210296,-0.0041801417,0.0014265309,0.0013538481
H1,10060,-0.013059026,-0.015340844,-0.015332794,-0.009905273,-0.009374743
H1,10061,-0.012605106,-0.015493251,-0.01873824,-0.010868853,-0.011404872
H1,10062,-0.010905137,-0.012334706,-0.012223074,-0.006438821,-0.008533314
