
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-7.93734133e-01, 2.08506346e-01, -4.16666679e-02, 1.19529021e+00
-7.93734133e-01, -7.06913352e-01, -4.18459438e-02, 5.26843119e+00
-7.93734133e-01, -6.86750412e-01, -7.09402259e-04, 5.25819445e+00
-7.93734133e-01, -6.66606605e-01, -4.44916412e-02, 5.25151873e+00
-7.93734133e-01, -6.97610378e-02, -4.16666679e-02, 3.16428185e+00
-7.93734133e-01, -3.48028421e-01, -4.16666679e-02, 4.69520426e+00
-7.93734133e-01, -4.65720892e-02, -1.66666672e-01, 3.04087186e+00
-7.93734133e-01, -6.97610378e-02, -1.25000000e-01, 3.17833400e+00
-7.93734133e-01, 4.30571049e-01, -1.24316983e-01, 3.09025526e-01
-7.93734133e-01, 4.07187164e-01, -1.69002950e-01, 3.89923900e-01
-7.93734133e-01, -9.40335453e-01, 2.09469557e-01, 5.39234304e+00
-7.93734133e-01, 2.31695294e-01, -1.66666672e-01, 1.09666717e+00
-7.93734133e-01, 2.08506346e-01, -1.25000000e-01, 1.20720375e+00
-7.93734133e-01, -8.63154352e-01, 2.06730768e-01, 5.37681723e+00
-7.93734133e-01, -6.03106856e-01, -8.33333358e-02, 5.21379709e+00
-7.93734133e-01, 1.44460678e-01, 8.33333358e-02, 1.60120201e+00
-7.93734133e-01, -4.12074089e-01, 8.33333358e-02, 4.89664698e+00
-7.93734133e-01, -1.33806705e-01, 8.33333358e-02, 3.61155200e+00
-7.93734133e-01, 4.02644664e-01, -8.62381607e-02, 3.67577404e-01
-7.93734133e-01, -3.24839473e-01, -8.33333358e-02, 4.61307240e+00
-7.93734133e-01, -4.65720892e-02, -8.33333358e-02, 3.00183868e+00
-7.93734133e-01, 2.31695294e-01, -8.33333358e-02, 1.06601131e+00
-7.93734133e-01, 5.64045370e-01, 8.47802386e-02, 8.80629644e-02
-7.93734133e-01, -1.11179960e+00, 3.76745611e-02, 5.30097198e+00
-7.93734133e-01, -6.44900203e-01, -8.47509354e-02, 5.24513292e+00
-7.93734133e-01, 3.73037457e-01, 0.00000000e+00, 4.53124136e-01
-7.93734133e-01, -3.71217370e-01, -8.33333358e-02, 4.77508402e+00
-7.93734133e-01, -8.87171507e-01, 7.77243525e-02, 5.29890299e+00
-7.93734133e-01, -4.94339645e-01, -4.16666679e-02, 5.07125187e+00
-7.93734133e-01, -9.29499865e-02, -8.33333358e-02, 3.33027482e+00
-7.93734133e-01, 5.45623481e-01, -6.03088066e-02, 1.05073608e-01
-7.93734133e-01, -2.16072261e-01, -4.16666679e-02, 4.10347271e+00
-7.93734133e-01, 6.21951222e-02, -4.16666679e-02, 2.17566133e+00
-7.93734133e-01, 1.85317397e-01, -8.33333358e-02, 1.33943355e+00
-7.93734133e-01, 3.40462506e-01, -4.16666679e-02, 5.57473838e-01
-7.93734133e-01, -8.20547879e-01, 2.06481665e-01, 5.37319231e+00
-7.93734133e-01, 5.31495273e-01, -1.49038464e-01, 1.44806355e-01
-7.93734133e-01, 2.72538334e-01, 1.75038010e-01, 8.95886302e-01
-7.93734133e-01, 4.79320139e-01, -1.37019232e-01, 2.21131280e-01
-7.93734133e-01, 4.72111970e-01, -1.02956116e-01, 2.17960641e-01
-7.93734133e-01, -7.23087089e-03, 1.75373435e-01, 2.75714493e+00
-7.93734133e-01, -2.85498261e-01, 1.75373435e-01, 4.49042368e+00
-7.93734133e-01, -4.61764693e-01, 0.00000000e+00, 5.01105499e+00
-7.93734133e-01, -4.77969468e-01, 4.24382463e-02, 5.04470539e+00
-7.93734133e-01, -1.83497310e-01, 0.00000000e+00, 3.92230988e+00
-7.93734133e-01, -2.01078832e-01, 4.28067707e-02, 4.02414370e+00
-7.93734133e-01, 9.47700739e-02, 0.00000000e+00, 1.94878578e+00
-7.93734133e-01, -5.63099861e-01, 1.74592972e-01, 5.21389627e+00
-7.93734133e-01, 7.71885589e-02, 4.28067707e-02, 2.08257389e+00
-7.93734133e-01, -1.02257836e+00, -1.40625000e-01, 5.33326483e+00
-7.93734133e-01, 3.52009386e-01, 4.46390882e-02, 5.17635047e-01
-7.93734133e-01, 1.24308378e-01, 4.16666679e-02, 1.75172043e+00
-7.93734133e-01, 1.47949249e-01, 1.66666672e-01, 1.60769737e+00
-7.93734133e-01, 1.72249079e-01, 2.08333328e-01, 1.49871314e+00
-7.93734133e-01, -1.53959006e-01, 4.16666679e-02, 3.74940944e+00
-7.93734133e-01, -1.08146274e+00, 7.57068396e-02, 5.30926418e+00
-7.93734133e-01, -4.32226390e-01, 4.16666679e-02, 4.94867659e+00
-7.93734133e-01, -1.06018297e-01, 2.08333328e-01, 3.50540662e+00
-7.93734133e-01, -1.30318135e-01, 1.66666672e-01, 3.61711216e+00
-7.93734133e-01, -4.13454384e-01, -8.33333358e-02, 4.90513182e+00
-7.93734133e-01, 5.66802584e-02, 8.43071342e-02, 2.23250318e+00
-7.93734133e-01, -1.35187000e-01, -8.33333358e-02, 3.63114834e+00
-7.93734133e-01, -3.84285688e-01, 2.08333328e-01, 4.89599085e+00
-7.93734133e-01, -4.08585519e-01, 1.66666672e-01, 4.92125559e+00
-7.93734133e-01, 1.43080384e-01, -8.33333358e-02, 1.62433827e+00
-7.93734133e-01, 2.15131760e-01, 2.08333328e-01, 1.25228655e+00
-7.93734133e-01, -6.31356239e-02, 2.08333328e-01, 3.19738507e+00
-7.93734133e-01, 5.09368956e-01, -7.94277191e-02, 1.53636590e-01
-7.93734133e-01, -3.41403008e-01, 2.08333328e-01, 4.76026678e+00
-7.93734133e-01, -1.08670783e+00, -7.09659308e-02, 5.30767345e+00
-7.93734133e-01, 4.95883673e-01, -1.78685904e-01, 2.13786006e-01
-7.93734133e-01, -1.10805082e+00, -1.60277292e-01, 5.36885262e+00
-7.93734133e-01, -2.21587121e-01, 8.43071342e-02, 4.13700581e+00
-7.93734133e-01, 5.38030684e-01, -2.03425795e-01, 1.84956685e-01
-7.93734133e-01, -6.43751979e-01, -9.63444647e-04, 5.23596859e+00
-7.93734133e-01, -6.26138687e-01, -4.56944816e-02, 5.22568798e+00
-7.93734133e-01, -4.97773528e-01, 8.38983357e-02, 5.08195066e+00
-7.93734133e-01, 1.66269332e-01, 1.25000000e-01, 1.46868086e+00
-7.93734133e-01, 3.33561033e-01, 2.08333328e-01, 6.58855021e-01
-7.93734133e-01, 3.78075540e-01, 2.08333328e-01, 5.25467932e-01
-7.93734133e-01, -9.63015854e-01, -4.85179983e-02, 5.29620600e+00
