unique_id,ds,RNN,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,8183,0.022302222,0.02168756,0.02486166,0.024923768,0.0287043
H1,8184,0.042577434,0.033521842,0.039622176,0.046918683,0.052568886
H1,8185,0.028407604,0.028119553,0.030471854,0.036101002,0.03633872
H1,8186,0.032631017,0.029112097,0.029333726,0.035702307,0.039742533
H1,8187,0.03360369,0.019906376,0.026127018,0.038436323,0.033153478
H1,8188,0.03877194,0.024975095,0.03297598,0.0417515,0.044757556
H1,8189,0.024196161,0.015529459,0.023606014,0.031651095,0.029663447
H1,8190,0.03916172,0.025314435,0.032037795,0.04807689,0.050221868
H1,8191,0.027001366,0.018035524,0.019842137,0.027121074,0.032320004
H1,8192,0.031992666,0.020444056,0.024710003,0.034411944,0.030828003
H1,8193,0.043735366,0.029199757,0.039342906,0.05567618,0.05508863
H1,8194,0.03649153,0.025683511,0.030739896,0.034710843,0.037036207
H1,8195,0.017904826,0.010532565,0.016866792,0.026054792,0.023646912
H1,8196,0.053210255,0.04000607,0.04984757,0.06389278,0.061822776
H1,8197,0.038122296,0.037287466,0.032003302,0.048945263,0.051495366
H1,8198,0.039218042,0.02310707,0.03367982,0.047268648,0.04238374
H1,8199,0.019913388,0.01875947,0.022909313,0.028280556,0.024092957
H1,8200,0.03432797,0.024784345,0.032689862,0.044252455,0.04123673
H1,8201,0.023034867,0.012349277,0.021924011,0.030765262,0.03455488
H1,8202,0.028007329,0.021922208,0.030407898,0.028543364,0.030301612
H1,8203,0.021648563,0.019537881,0.021498613,0.025890734,0.03402969
H1,8204,0.056253746,0.036833763,0.046811365,0.06078143,0.06074609
H1,8205,0.026374064,0.02250895,0.031459976,0.03613664,0.03781473
H1,8206,0.02417328,0.01352234,0.015921135,0.023720402,0.021447457
H1,8207,0.006781786,-0.0014669094,0.0029224567,0.011854155,0.016716067
H1,8208,0.034283027,0.026800789,0.027686987,0.044607546,0.0424005
H1,8209,0.033775695,0.025251463,0.033116203,0.03934503,0.032757733
H1,8210,0.01403868,0.0068725944,0.015607294,0.02356952,0.03263746
H1,8211,0.05086657,0.043579124,0.045776,0.056938417,0.057899207
H1,8212,0.021737281,0.0014784997,0.013160907,0.025071576,0.016164005
H1,8213,0.0211482,0.020103984,0.018781113,0.027046945,0.02989344
H1,8214,0.013878103,0.007813591,0.009726292,0.020663183,0.01685808
H1,8215,0.02285106,0.01361737,0.021275558,0.028562445,0.029426672
H1,8216,0.025537312,0.017187925,0.02498519,0.029489823,0.022872878
H1,8217,0.022845002,0.0069021294,0.013361744,0.022584587,0.023303926
H1,8218,0.032339778,0.026922245,0.03139068,0.03682643,0.043168426
H1,8219,0.034064412,0.024218263,0.023171853,0.033741537,0.034166947
H1,8220,0.046785742,0.03914767,0.04582675,0.05408119,0.055918127
H1,8221,0.025848817,0.013328176,0.014887329,0.030111965,0.024665449
H1,8222,0.027602188,0.020653397,0.019672338,0.026746053,0.029796932
H1,8223,0.03249425,0.0235509,0.027904183,0.034586903,0.035130434
H1,8224,0.024994476,0.02136707,0.022741752,0.025511883,0.029910859
H1,8225,0.03062952,0.020467516,0.0294566,0.0411611,0.04199276
H1,8226,0.043229256,0.03877881,0.041093707,0.04970719,0.04798245
H1,8227,0.038529795,0.01885763,0.025611702,0.03681369,0.04090494
H1,8228,0.03834134,0.021289427,0.030626029,0.04227591,0.047156177
H1,8229,0.018827531,0.007915906,0.014388137,0.031309173,0.024591006
H1,8230,0.01872613,0.019399187,0.014672701,0.02056066,0.027187936
H1,8231,0.01978516,0.010776941,0.018807644,0.020339034,0.017020542
H1,8232,0.011747911,0.0016800864,0.0070647867,0.017769864,0.01813497
H1,8233,0.03519629,0.028628323,0.026739303,0.04372894,0.047298923
H1,8234,0.01625218,0.00915973,0.008117389,0.012534982,0.018691827
H1,8235,0.019021733,0.0121996105,0.016228084,0.020587098,0.030734036
H1,8236,0.030604381,0.02571005,0.03520121,0.037134137,0.03303049
H1,8237,0.015128588,0.013297824,0.01979708,0.02160088,0.018563136
H1,8238,0.006119793,0.0039430032,0.0097334385,0.013489295,0.012148538
H1,8239,0.0046868008,-0.0018213252,-0.006978399,0.00801292,0.007412495
H1,8240,0.013996731,0.0031426237,0.010876843,0.016282005,0.019030318
H1,8241,0.037770282,0.03076692,0.029654056,0.04526191,0.04642922
H1,8242,0.037916385,0.02420738,0.029083751,0.040038697,0.045171227
H1,8243,0.013614977,0.008922229,0.00586567,0.018963441,0.016092975
H1,8244,0.010211301,0.0023374087,0.0070327464,0.016296359,0.018716019
H1,8245,0.015469477,0.0071264952,0.008880355,0.021822598,0.024966285
H1,8246,0.03234718,0.019854974,0.02526562,0.0257007,0.025980335
H1,8247,0.023169914,0.0238044,0.024495106,0.032515932,0.033542085
H1,8248,0.021203816,0.012875646,0.0189406,0.023154877,0.022963494
H1,8249,0.033484086,0.026018988,0.030783605,0.03266506,0.04195916
H1,8250,0.01245006,0.0051639685,0.0071427966,0.017175702,0.013662983
H1,8251,0.025300857,0.012429584,0.018728508,0.026557907,0.030807823
H1,8252,0.024617177,0.021242509,0.023973638,0.03769726,0.03554993
H1,8253,0.0068705166,0.0010340353,0.0050163465,0.016610349,0.015429977
H1,8254,-0.0005381284,-0.0006254297,-0.0017151767,0.00461015,0.010506616
H1,8255,0.009375962,-0.005622563,0.0024801502,0.014748625,0.013367236
