
[Name]
parachute_model_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
3.17499996e-03, -2.24717304e-01, 9.03191119e-02, 1.06377401e+01
3.17499996e-03, -3.24999578e-02, 1.71991244e-01, 5.63193274e+00
-3.17499996e-03, -3.26708481e-02, 1.71917230e-01, 1.84844589e+01
3.17499996e-03, -1.54889137e-01, 1.20565437e-01, 1.19028559e+01
-3.17499996e-03, -3.63777503e-02, 1.70311570e-01, 1.55153589e+01
-3.83704596e-11, -3.44037041e-02, 1.71166629e-01, 1.22883406e+01
3.17499996e-03, -3.49514633e-01, 3.62626985e-02, 4.15065432e+00
3.17499996e-03, -1.27245337e-01, 1.32539436e-01, 1.24238672e+01
3.17499996e-03, -3.36058527e-01, 4.20912579e-02, 2.34536767e+00
3.17499996e-03, -3.61365564e-02, 1.70416042e-01, 5.14570856e+00
3.17499996e-03, -1.05874225e-01, 1.41796425e-01, 1.28446550e+01
-1.84503003e-11, -3.98882300e-01, 1.32914148e-02, -1.44429359e+01
3.17499996e-03, -8.89127478e-02, 1.49143338e-01, 1.23532839e+01
3.17499996e-03, -4.09862310e-01, 1.01228757e-02, -1.02624311e+01
3.17499996e-03, -7.51641616e-02, 1.55098587e-01, 1.16550350e+01
3.17499996e-03, -4.02801186e-01, 1.31814284e-02, -1.00522232e+01
3.17499996e-03, -6.39556497e-02, 1.59953609e-01, 9.83327961e+00
3.17499996e-03, -5.49133271e-02, 1.63870320e-01, 8.01281738e+00
3.17499996e-03, -4.08514798e-01, 1.07065644e-02, -1.10423956e+01
3.17499996e-03, -3.99949163e-01, 1.44167878e-02, -1.03937407e+01
3.17499996e-03, -4.11039561e-01, 9.61295143e-03, -9.92832184e+00
3.17499996e-03, -4.05096143e-01, 1.21873673e-02, -1.40586500e+01
3.17499996e-03, -4.77611572e-02, 1.66968301e-01, 6.34683752e+00
3.17499996e-03, -4.06958967e-01, 1.13804713e-02, -1.17496414e+01
-3.17499996e-03, -2.63313744e-02, 1.76250696e-01, -1.72043629e+01
-1.06085918e-03, -2.35490948e-02, 1.76827386e-01, -5.15446510e+01
1.05064048e-03, -2.35490948e-02, 1.76827386e-01, -3.18180752e+01
3.17499996e-03, -4.19742465e-02, 1.69474930e-01, 5.27803087e+00
-3.17499996e-03, -2.35490948e-02, 1.76827386e-01, -3.17660732e+01
3.17499996e-03, -1.88605517e-01, 1.05961062e-01, 1.24039593e+01
3.17499996e-03, -2.84360163e-02, 1.75339058e-01, -7.30705118e+00
3.17499996e-03, -3.74303833e-02, 1.71443120e-01, 3.90169692e+00
-3.17499996e-03, -4.13047671e-01, 8.74312222e-03, -8.11652279e+00
-3.17499996e-03, -3.92361164e-01, 1.77035686e-02, 1.11174288e+01
3.17499996e-03, -3.51555914e-01, 3.53785083e-02, 4.76510906e+00
-3.17499996e-03, -3.87146324e-01, 1.99623853e-02, 1.18293734e+01
-3.17499996e-03, -3.80678535e-01, 2.27639358e-02, 1.10943604e+01
-3.17499996e-03, -3.72669697e-01, 2.62329988e-02, 1.25135908e+01
3.17499996e-03, -3.08245774e-02, 1.74304441e-01, -1.65566242e+00
-3.17499996e-03, -3.62750709e-01, 3.05294376e-02, 1.13369579e+01
-3.17499996e-03, -3.50459725e-01, 3.58533189e-02, 1.17437439e+01
-3.17499996e-03, -3.35241526e-01, 4.24451455e-02, 1.22059784e+01
-3.17499996e-03, -3.16395700e-01, 5.06082848e-02, 1.27725143e+01
-3.17499996e-03, -2.27590173e-01, 8.90747160e-02, 1.16476889e+01
-3.17499996e-03, -2.92709678e-01, 6.08679689e-02, 1.28699884e+01
