unique_id,ds,RNN,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,2050-04-13,0.061524633,0.059468415,0.05917873,0.06367552,0.063352026
H1,2050-04-14,0.06066334,0.05858051,0.05757443,0.06686578,0.06768342
H1,2050-04-15,0.065024376,0.059268247,0.05604293,0.06631908,0.066409186
H1,2050-04-16,0.059425287,0.055642013,0.05528372,0.06241109,0.063204885
H1,2050-04-17,0.051801942,0.04799548,0.048039187,0.055088393,0.05657953
H1,2050-04-18,0.06571528,0.06275703,0.063312076,0.066988744,0.07212251
H1,2050-04-19,0.06559767,0.059408847,0.060015235,0.065893754,0.06646966
H1,2050-04-20,0.054319914,0.0517751,0.05101237,0.05801894,0.059139933
H1,2050-04-21,0.063526325,0.056634612,0.05685216,0.06438956,0.06555293
H1,2050-04-22,0.05334472,0.05053782,0.04768657,0.056141134,0.05712772
H1,2050-04-23,0.052765574,0.05095245,0.050138995,0.05603999,0.05675872
H1,2050-04-24,0.0614706,0.05701113,0.05522915,0.06460673,0.063476466
H1,2050-04-25,0.058335155,0.057482082,0.053954903,0.0668629,0.06698829
H1,2050-04-26,0.06303673,0.05680987,0.056945503,0.06703361,0.06589532
H1,2050-04-27,0.060042758,0.056326102,0.056392144,0.06406292,0.06350304
H1,2050-04-28,0.05621868,0.051969014,0.0513529,0.05618544,0.058751334
H1,2050-04-29,0.050988693,0.046750516,0.04940806,0.05440299,0.055611663
H1,2050-04-30,0.05133753,0.047612846,0.04692169,0.0563983,0.057600237
H1,2050-05-01,0.053669605,0.053213775,0.05111615,0.055460554,0.057757296
H1,2050-05-02,0.056433298,0.05271866,0.05269047,0.061736416,0.061233114
H1,2050-05-03,0.055197358,0.051526662,0.052422665,0.05789334,0.056645766
H1,2050-05-04,0.05974788,0.05859123,0.054845605,0.0631577,0.063422784
H1,2050-05-05,0.052715667,0.04820147,0.04772349,0.054970276,0.054436393
H1,2050-05-06,0.05738727,0.055577923,0.053367563,0.06356875,0.06341959
H1,2050-05-07,0.05532761,0.049603336,0.05104879,0.056697976,0.05807085
H1,2050-05-08,0.052308653,0.05001934,0.046909727,0.05742259,0.05658984
H1,2050-05-09,0.04960036,0.048218656,0.048217997,0.055735797,0.054461982
H1,2050-05-10,0.055294618,0.052992996,0.05582684,0.060919214,0.05868487
H1,2050-05-11,0.06293216,0.055765558,0.056325823,0.06721962,0.065491386
H1,2050-05-12,0.050482694,0.04675622,0.04775074,0.05566188,0.054418344
H1,2050-05-13,0.05820424,0.051798258,0.0523105,0.06118622,0.061727736
H1,2050-05-14,0.053063218,0.052284446,0.050274022,0.057442106,0.05679646
H1,2050-05-15,0.051516064,0.047101233,0.04834906,0.058438685,0.055510238
H1,2050-05-16,0.048808847,0.047200616,0.044104755,0.052195784,0.05231421
H1,2050-05-17,0.0560893,0.05006652,0.051006433,0.05918386,0.059334464
H1,2050-05-18,0.05187785,0.049559046,0.049307067,0.05496589,0.05580724
H1,2050-05-19,0.047931433,0.04416169,0.044498004,0.051689863,0.05121726
H1,2050-05-20,0.045684185,0.041347094,0.041343387,0.052512806,0.05290543
H1,2050-05-21,0.04729651,0.043727804,0.040730037,0.049915124,0.046862595
H1,2050-05-22,0.06458375,0.05812195,0.05820323,0.06743283,0.06913428
H1,2050-05-23,0.051735226,0.049792092,0.046866097,0.054466814,0.05319408
H1,2050-05-24,0.055996545,0.0545773,0.053091854,0.061880533,0.061288174
H1,2050-05-25,0.045798387,0.044322953,0.041617274,0.048716564,0.04953191
H1,2050-05-26,0.044198778,0.037331875,0.041376516,0.05088487,0.05257404
H1,2050-05-27,0.04453292,0.04134399,0.041624926,0.04736564,0.048358604
H1,2050-05-28,0.04586302,0.04517685,0.044207066,0.050147045,0.052635875
H1,2050-05-29,0.05099687,0.048532344,0.04979642,0.052014392,0.050534748
H1,2050-05-30,0.03846012,0.037407532,0.03762871,0.043066144,0.043247275
H1,2050-05-31,0.047909766,0.04169741,0.041293737,0.051301975,0.04836358
H1,2050-06-01,0.051001195,0.04641108,0.045066684,0.05436284,0.057284147
H1,2050-06-02,0.046314422,0.045281228,0.045227442,0.05382783,0.055723455
H1,2050-06-03,0.047704477,0.044229906,0.0424113,0.048823174,0.048383437
H1,2050-06-04,0.04546377,0.041987047,0.04354736,0.049946576,0.05168043
H1,2050-06-05,0.048501275,0.042954136,0.045647956,0.05457733,0.055795677
H1,2050-06-06,0.049640015,0.0438814,0.042722095,0.052345842,0.05402669
H1,2050-06-07,0.039938398,0.037194908,0.036657978,0.043001004,0.04460046
H1,2050-06-08,0.043225307,0.03962012,0.039405793,0.050073545,0.051738694
H1,2050-06-09,0.04047946,0.037989747,0.036274247,0.04401926,0.042574633
H1,2050-06-10,0.031788476,0.026628364,0.027579492,0.035423458,0.03567542
H1,2050-06-11,0.04606308,0.044483382,0.042476077,0.054135334,0.054969136
H1,2050-06-12,0.042245254,0.033753965,0.035662167,0.04423891,0.046341248
H1,2050-06-13,0.044028506,0.040367223,0.039442167,0.045936827,0.047301594
H1,2050-06-14,0.04142939,0.034199294,0.03625241,0.0467513,0.048709154
H1,2050-06-15,0.04144035,0.03762607,0.04023316,0.044550136,0.045885395
H1,2050-06-16,0.04804844,0.04373113,0.044534653,0.050798275,0.051453758
H1,2050-06-17,0.03394744,0.031460114,0.033610977,0.03698862,0.040150505
H1,2050-06-18,0.038161114,0.03499788,0.034033198,0.039936308,0.040900055
H1,2050-06-19,0.041684505,0.03809134,0.03495622,0.046494972,0.047253568
H1,2050-06-20,0.041798674,0.038691264,0.036021553,0.046062674,0.046664912
H1,2050-06-21,0.031368326,0.028188054,0.027887523,0.034442272,0.03301071
H1,2050-06-22,0.034766722,0.031386364,0.033089027,0.03772833,0.038344037
H1,2050-06-23,0.028543767,0.026696341,0.02436338,0.031007979,0.031577207
H1,2050-06-24,0.038837805,0.03720896,0.03585434,0.04260903,0.03964362
H1,2050-06-25,0.029068757,0.023616211,0.027843125,0.033445008,0.0313879
H1,2050-06-26,0.030168802,0.025353542,0.0272367,0.034352664,0.030812606
H1,2050-06-27,0.03478285,0.031213965,0.029121201,0.03489712,0.036514677
H1,2050-06-28,0.043624785,0.039519414,0.039108124,0.048729144,0.049914613
H1,2050-06-29,0.04529694,0.037717883,0.038167264,0.049381334,0.04862581
H1,2050-06-30,0.03378239,0.031520087,0.02938507,0.038678017,0.03984207
H1,2050-07-01,0.037534416,0.031419337,0.032475334,0.04492629,0.042816833
H1,2050-07-02,0.032850478,0.03161292,0.030017432,0.039393656,0.041147243
H1,2050-07-03,0.034494553,0.028491577,0.030866,0.038350035,0.039261017
H1,2050-07-04,0.02277932,0.01809281,0.01776647,0.024670871,0.024305766
H1,2050-07-05,0.033259366,0.025759898,0.025523152,0.035677746,0.034834057
H1,2050-07-06,0.029998485,0.024415594,0.02541304,0.04125888,0.040704314
H1,2050-07-07,0.02345336,0.021516869,0.019253328,0.028809903,0.029183483
H1,2050-07-08,0.03136436,0.02650411,0.026068421,0.0372995,0.036950774
H1,2050-07-09,0.02656116,0.025642434,0.02108826,0.031567406,0.034936015
H1,2050-07-10,0.034186844,0.026885726,0.030145109,0.037700575,0.037849404
H1,2050-07-11,0.033216324,0.029800635,0.026110312,0.037437648,0.03777331
H1,2050-07-12,0.030665092,0.023646232,0.02345924,0.036264703,0.031604055
H1,2050-07-13,0.03333957,0.030209042,0.028149048,0.033856552,0.034449663
H1,2050-07-14,0.0283523,0.025925865,0.024024893,0.034941815,0.033785127
H1,2050-07-15,0.019843584,0.014436698,0.017403191,0.024062023,0.02375286
H1,2050-07-16,0.02763363,0.02570463,0.024618398,0.03273107,0.031970717
H1,2050-07-17,0.017052684,0.014879916,0.013372494,0.020012753,0.018445438
H1,2050-07-18,0.029044209,0.02409793,0.025969509,0.03426613,0.03337024
H1,2050-07-19,0.02807561,0.022054479,0.024522297,0.03145427,0.03407657
H1,2050-07-20,0.026559426,0.021165602,0.02410516,0.027381435,0.028755255
H1,2050-07-21,0.022658322,0.02271432,0.02115426,0.02913193,0.030793887
H1,2050-07-22,0.02559979,0.020860927,0.021924496,0.031367287,0.02720054
H1,2050-07-23,0.021792108,0.019042809,0.017614776,0.027898693,0.026406484
H1,2050-07-24,0.03636466,0.031830423,0.03194817,0.0399279,0.043115947
H1,2050-07-25,0.009078821,0.004920917,0.008723818,0.01603143,0.013214952
