unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,30179,0.018561602,0.021172311,0.02240707,0.018744793,0.02343564
H1,30180,0.060100477,0.04872165,0.051971544,0.049506437,0.048531048
H1,30181,-0.02317515,-0.023276217,-0.025497679,-0.024502274,-0.02536773
H1,30182,-0.08903606,-0.08154949,-0.08002876,-0.081034556,-0.07754889
H1,30183,-0.04025953,-0.042310044,-0.041429445,-0.041853637,-0.040512234
H1,30184,0.007455524,0.0065650046,0.0027520657,0.004992187,0.0030322522
H1,30185,0.016678844,0.01806742,0.01719533,0.017262533,0.020083569
H1,30186,-0.009518884,-0.009486318,-0.010640889,-0.010193117,-0.010924935
H1,30187,-0.07826097,-0.0786742,-0.0810896,-0.08070268,-0.08135644
H1,30188,-0.06928242,-0.06782894,-0.06864936,-0.068788126,-0.06605053
H1,30189,0.032041132,0.028815866,0.031003289,0.030162277,0.031934872
H1,30190,0.04412533,0.043759517,0.04316149,0.04427219,0.043783203
H1,30191,-0.029735208,-0.02814249,-0.029679213,-0.0276661,-0.028118342
H1,30192,-0.05643151,-0.05914279,-0.05794704,-0.05742885,-0.05446507
H1,30193,-0.04675928,-0.047285333,-0.04812804,-0.045092106,-0.04322312
H1,30194,0.003800204,0.005297594,0.00040869787,0.0012690164,0.0037876442
H1,30195,0.04522904,0.04289478,0.04074414,0.042380925,0.039909616
H1,30196,-0.016504116,-0.017972223,-0.017758809,-0.014663465,-0.013790779
H1,30197,-0.08841046,-0.08278054,-0.0921598,-0.08952463,-0.08573885
H1,30198,-0.059254695,-0.06251398,-0.060969118,-0.056799803,-0.061389957
H1,30199,0.024612539,0.021615312,0.024335347,0.027578384,0.02586681
H1,30200,0.036470383,0.04114619,0.03233178,0.035361324,0.03672836
H1,30201,-0.020301446,-0.021520853,-0.021523327,-0.018584274,-0.020333352
H1,30202,-0.06785323,-0.064492434,-0.06865707,-0.06617223,-0.061190225
H1,30203,-0.054186024,-0.0529635,-0.053791538,-0.055836156,-0.04842387
H1,30204,0.018054709,0.018398635,0.015874594,0.02065013,0.016137492
H1,30205,0.035240248,0.04524839,0.036119606,0.041779757,0.044051677
H1,30206,-0.015003927,-0.016852945,-0.016766043,-0.016421534,-0.011743727
H1,30207,-0.07315616,-0.077458195,-0.07807912,-0.07545842,-0.07447119
H1,30208,-0.061291732,-0.057582334,-0.05918109,-0.05892099,-0.05437411
H1,30209,0.022697564,0.02186805,0.02416858,0.024635836,0.022793628
H1,30210,0.040337175,0.041610822,0.043236114,0.036407642,0.041482866
H1,30211,-0.021567557,-0.019394577,-0.022203237,-0.020592086,-0.020498127
H1,30212,-0.080647066,-0.081267945,-0.074561015,-0.07360668,-0.07948897
H1,30213,-0.0554538,-0.053370547,-0.050897755,-0.05853051,-0.053688686
H1,30214,0.018245038,0.019393202,0.013293583,0.020835772,0.019789249
H1,30215,0.028294735,0.029504694,0.027967773,0.033993393,0.029810138
H1,30216,-0.01610845,-0.013819449,-0.015918799,-0.017412104,-0.015812691
H1,30217,-0.07106282,-0.07265863,-0.07103565,-0.07000117,-0.06555392
H1,30218,-0.058735494,-0.056823686,-0.06459066,-0.058396567,-0.059384108
H1,30219,0.025887545,0.028477512,0.026563544,0.02799196,0.027988262
H1,30220,0.058900665,0.056310542,0.05860237,0.055291418,0.06635168
H1,30221,-0.017305277,-0.017540485,-0.024886193,-0.022572372,-0.018400148
H1,30222,-0.088038675,-0.08367601,-0.075472765,-0.0787321,-0.08227201
H1,30223,-0.0415567,-0.039388154,-0.03725665,-0.03975729,-0.036454223
H1,30224,0.015434921,0.01372242,0.0047611743,0.007051632,0.0115372315
H1,30225,0.023788504,0.022371538,0.02794455,0.023748107,0.021707445
H1,30226,-0.0066734925,-0.0041509494,-0.0068885013,-0.0076170936,-0.006934732
H1,30227,-0.07681039,-0.07575641,-0.08325921,-0.08048919,-0.07570679
H1,30228,-0.06490241,-0.06745835,-0.063509755,-0.06500892,-0.06813164
H1,30229,0.035327755,0.04045649,0.035106823,0.03533866,0.033474945
H1,30230,0.054230794,0.051219173,0.04869076,0.050860837,0.05543007
H1,30231,-0.023200557,-0.025986336,-0.027051829,-0.026427563,-0.02491647
H1,30232,-0.059634566,-0.052709386,-0.059420086,-0.0593061,-0.060725152
H1,30233,-0.04548192,-0.04793589,-0.04334588,-0.042859346,-0.04571247
H1,30234,0.0059719235,0.011222132,0.007073612,0.006354511,0.009892777
H1,30235,0.046578784,0.057553396,0.049932595,0.044777043,0.047561973
H1,30236,-0.0133939255,-0.014033243,-0.012348473,-0.012967249,-0.01450807
H1,30237,-0.085352026,-0.090425625,-0.092548795,-0.08877447,-0.082754515
H1,30238,-0.057523064,-0.05672212,-0.056815803,-0.058999605,-0.06031186
H1,30239,0.032403305,0.028937723,0.03357912,0.030235972,0.02794794
H1,30240,0.045789286,0.038860813,0.041363247,0.040700234,0.045480996
H1,30241,-0.0201214,-0.014714286,-0.01750695,-0.016030952,-0.017874822
H1,30242,-0.06185735,-0.07086635,-0.0629379,-0.069140136,-0.06359063
H1,30243,-0.047252,-0.060064457,-0.049018618,-0.055809,-0.0505338
H1,30244,0.015895685,0.030881308,0.019903108,0.02642758,0.02046359
H1,30245,0.043538053,0.05225935,0.041256204,0.046724875,0.046471655
H1,30246,-0.01039302,-0.015333697,-0.011375576,-0.015089668,-0.014126829
H1,30247,-0.07711078,-0.07496516,-0.07505189,-0.07575322,-0.0773558
H1,30248,-0.05717579,-0.05488135,-0.05868522,-0.056701247,-0.05563325
H1,30249,0.032506235,0.02816571,0.03144423,0.026829857,0.028862013
H1,30250,0.04762642,0.0491263,0.043755867,0.047402974,0.04707295
H1,30251,-0.019690678,-0.01615645,-0.02148787,-0.016939322,-0.018817937
H1,30252,-0.067371085,-0.07759954,-0.071231835,-0.078696854,-0.073190816
H1,30253,-0.0441456,-0.049659126,-0.05048487,-0.052695066,-0.048905537
H1,30254,0.016968165,0.020875357,0.016540166,0.024387747,0.018502263
H1,30255,0.033639714,0.03364084,0.032444704,0.036078632,0.033383332
H1,30256,-0.008353181,-0.011867844,-0.0114384405,-0.012474127,-0.0123768
H1,30257,-0.07007389,-0.076674655,-0.07296431,-0.068014726,-0.072451524
H1,30258,-0.060181275,-0.058949064,-0.05915138,-0.058912206,-0.06007673
H1,30259,0.034692515,0.033110242,0.030798655,0.03359652,0.034168318
H1,30260,0.062918566,0.05145159,0.058347926,0.06261634,0.057825055
H1,30261,-0.02132906,-0.019605175,-0.019978002,-0.02100892,-0.020888567
H1,30262,-0.07246207,-0.078227684,-0.08081944,-0.07617274,-0.071618065
H1,30263,-0.033627607,-0.041378126,-0.03924329,-0.037216425,-0.035608053
H1,30264,0.007323988,0.012437746,0.010439418,0.008930847,0.009436294
H1,30265,0.025997866,0.024061024,0.025971636,0.027003556,0.027121037
H1,30266,-0.00093179755,-0.0036608577,-0.0072278734,-0.004418079,-0.003920503
H1,30267,-0.07703324,-0.07947093,-0.08313588,-0.082384706,-0.08348949
H1,30268,-0.064567596,-0.06649193,-0.06469318,-0.065202296,-0.06366217
H1,30269,0.043111037,0.04077232,0.039052546,0.040893506,0.04543321
H1,30270,0.059790637,0.05607366,0.05269643,0.053933512,0.05617317
H1,30271,-0.02130948,-0.02233518,-0.024800245,-0.023726828,-0.023835536
H1,30272,-0.05495208,-0.05686991,-0.05780954,-0.05608794,-0.05482701
H1,30273,-0.037434198,-0.042536378,-0.04226826,-0.04221894,-0.034478523
H1,30274,0.0049963742,0.008269161,0.007893618,0.007312864,0.0005317554
H1,30275,0.04909023,0.048965313,0.049804263,0.04574852,0.04248991
H1,30276,-0.0083705485,-0.009703292,-0.010826189,-0.009466644,-0.007120043
H1,30277,-0.093824014,-0.08393385,-0.08833975,-0.080377534,-0.10270747
H1,30278,-0.055893317,-0.05754834,-0.057130888,-0.05841859,-0.05590181
H1,30279,0.03672877,0.03179431,0.033182867,0.03468528,0.04220099
H1,30280,0.044281214,0.045991987,0.043710247,0.051296983,0.038249705
H1,30281,-0.014855728,-0.014517799,-0.018717222,-0.018054653,-0.014536455
H1,30282,-0.061952554,-0.06824522,-0.066936746,-0.060474526,-0.064330935
H1,30283,-0.056531683,-0.053674784,-0.05099931,-0.047343478,-0.051799938
H1,30284,0.026567712,0.028065506,0.02044507,0.018836986,0.024709165
H1,30285,0.0625636,0.04627324,0.041986994,0.050042443,0.04945743
H1,30286,-0.014538489,-0.01184015,-0.011888951,-0.009841245,-0.012601145
H1,30287,-0.079763204,-0.071536295,-0.07586039,-0.07667751,-0.077420205
H1,30288,-0.051835075,-0.05610334,-0.05942752,-0.054826144,-0.054512896
H1,30289,0.028574768,0.02890723,0.027547646,0.030981772,0.028479531
H1,30290,0.048327822,0.051104456,0.047577556,0.045947835,0.046288878
H1,30291,-0.014790723,-0.0144451,-0.020423222,-0.016216498,-0.016670704
H1,30292,-0.07726705,-0.08080432,-0.077623755,-0.07346928,-0.07773649
H1,30293,-0.05028661,-0.049771294,-0.04825232,-0.05517434,-0.054788493
H1,30294,0.025779543,0.025899239,0.019775985,0.02756536,0.027311724
H1,30295,0.03902423,0.034217976,0.033779472,0.041309908,0.040030308
H1,30296,-0.010642543,-0.010909695,-0.009351715,-0.013465449,-0.012604371
H1,30297,-0.07791327,-0.07076277,-0.07162225,-0.06766853,-0.06859261
H1,30298,-0.055490255,-0.058008034,-0.059273507,-0.057189822,-0.056646317
H1,30299,0.035371657,0.03267984,0.033882078,0.0340043,0.031615358
H1,30300,0.048647277,0.064726494,0.06291675,0.06382035,0.06357825
H1,30301,-0.016762104,-0.017939959,-0.016849149,-0.018300828,-0.016196337
H1,30302,-0.07293053,-0.08260117,-0.07918552,-0.076582715,-0.084754765
H1,30303,-0.03838419,-0.036932737,-0.036695804,-0.036375336,-0.039860122
H1,30304,0.017137364,0.014033183,0.014410898,0.011921015,0.016038634
H1,30305,0.034513995,0.02871871,0.02523015,0.028181937,0.027762502
H1,30306,-0.0042831264,-0.0036986992,-0.002048945,-0.0026726183,-0.0005938113
H1,30307,-0.08490007,-0.07747458,-0.07794513,-0.08140485,-0.0755817
H1,30308,-0.05855622,-0.06505711,-0.06865084,-0.067052275,-0.06407675
H1,30309,0.041110195,0.03919647,0.040351156,0.040231183,0.042643234
H1,30310,0.049932346,0.05902435,0.05492378,0.053699277,0.058284424
H1,30311,-0.021399006,-0.022354048,-0.025012538,-0.02537965,-0.021099769
H1,30312,-0.05572802,-0.057622083,-0.056214377,-0.05680591,-0.054665774
H1,30313,-0.04446113,-0.041386403,-0.042600654,-0.04093176,-0.040637776
H1,30314,0.012417525,0.008600846,0.0065936893,0.006331213,0.007808104
H1,30315,0.05599652,0.049124658,0.04424412,0.046904333,0.04975297
H1,30316,-0.011784481,-0.009166744,-0.01010089,-0.008226602,-0.009540632
H1,30317,-0.08345482,-0.08530739,-0.083026364,-0.088267446,-0.08686613
H1,30318,-0.054951467,-0.055975564,-0.062180754,-0.058482017,-0.05470536
H1,30319,0.032959625,0.036520272,0.033005,0.0346761,0.037447244
H1,30320,0.049232677,0.04828701,0.04992877,0.044408835,0.048086595
H1,30321,-0.013925664,-0.016117858,-0.018268913,-0.0155457705,-0.015580472
H1,30322,-0.06796298,-0.06425461,-0.058990408,-0.063535504,-0.061279614
H1,30323,-0.054730013,-0.050659522,-0.042783435,-0.048861854,-0.049275354
H1,30324,0.029812194,0.025280207,0.018295102,0.02473747,0.02371762
H1,30325,0.049260624,0.049306497,0.050850652,0.049766537,0.051108636
H1,30326,-0.0112640485,-0.007808216,-0.007319309,-0.009978961,-0.011111807
H1,30327,-0.07205247,-0.0718946,-0.07726541,-0.07557066,-0.07642302
H1,30328,-0.057063546,-0.05550113,-0.05348012,-0.05482474,-0.055181637
H1,30329,0.032247327,0.035997067,0.029029313,0.030127931,0.032946724
H1,30330,0.043519676,0.04744634,0.052632883,0.048984423,0.048902974
H1,30331,-0.017137676,-0.016765833,-0.015625216,-0.015809067,-0.014003605
H1,30332,-0.07303073,-0.06727006,-0.077934295,-0.075895555,-0.069804564
H1,30333,-0.05689491,-0.048438184,-0.050043732,-0.052233845,-0.049737938
H1,30334,0.029700639,0.024675116,0.024148986,0.027624462,0.024707329
H1,30335,0.045509353,0.040558994,0.03787251,0.041436303,0.039299853
H1,30336,-0.011581533,-0.0075536855,-0.010484494,-0.009772081,-0.009707142
H1,30337,-0.07369889,-0.06816779,-0.06544547,-0.06524504,-0.07015349
H1,30338,-0.055925712,-0.058644198,-0.058902137,-0.057580154,-0.0570143
H1,30339,0.033792794,0.034935128,0.033167273,0.033941872,0.034882236
H1,30340,0.052741006,0.06637728,0.06743849,0.06768396,0.06372589
H1,30341,-0.01725084,-0.017151862,-0.01775885,-0.017304078,-0.015633404
H1,30342,-0.07488083,-0.07215252,-0.08117525,-0.07675448,-0.07707396
H1,30343,-0.036722958,-0.033575814,-0.036803357,-0.03542257,-0.035831407
H1,30344,0.016421646,0.009773999,0.015258208,0.013351843,0.015637234
H1,30345,0.027242005,0.031764135,0.026650876,0.034554884,0.032545865
H1,30346,-0.0015440881,-0.0025836974,0.0016083792,0.00074087083,-0.001606673
