unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,30111,-0.027409032,-0.03029079,-0.02895701,-0.027356334,-0.028835893
H1,30112,-0.060483858,-0.059768222,-0.06335379,-0.061071977,-0.061248705
H1,30113,-0.051858366,-0.05061561,-0.054713875,-0.05254347,-0.0540445
H1,30114,0.0025479794,-5.9902668e-05,0.00053845346,-0.00033201277,-0.00058072805
H1,30115,0.038050413,0.032437094,0.032706663,0.032699913,0.033727817
H1,30116,-0.02357753,-0.0244836,-0.026253447,-0.02585856,-0.026575131
H1,30117,-0.074681684,-0.07636519,-0.07418887,-0.07284688,-0.0741226
H1,30118,-0.052673787,-0.053378634,-0.05387271,-0.055354334,-0.053673398
H1,30119,0.00988844,0.011430316,0.01004532,0.007956192,0.008461401
H1,30120,0.024097532,0.022613898,0.023091257,0.025846228,0.023686543
H1,30121,-0.020458281,-0.021777093,-0.022541627,-0.023319438,-0.023639038
H1,30122,-0.065629736,-0.066156626,-0.06790979,-0.07041153,-0.06752286
H1,30123,-0.05600407,-0.055341735,-0.055183455,-0.059295885,-0.057833225
H1,30124,0.0151504455,0.014457583,0.014266275,0.014210802,0.013756612
H1,30125,0.026932776,0.027397534,0.026185174,0.02507943,0.028906012
H1,30126,-0.022710316,-0.020305071,-0.02222675,-0.026278593,-0.022705734
H1,30127,-0.06827129,-0.06654834,-0.06902117,-0.071086094,-0.06947047
H1,30128,-0.056055784,-0.054469526,-0.055668224,-0.05853793,-0.056650534
H1,30129,0.013916992,0.014490396,0.012308106,0.011483764,0.0123549625
H1,30130,0.025670968,0.025516547,0.023546547,0.024166273,0.022359133
H1,30131,-0.02244173,-0.02253332,-0.023826852,-0.022592641,-0.023751616
H1,30132,-0.07161677,-0.071809895,-0.07296004,-0.07167311,-0.07168869
H1,30133,-0.058543727,-0.057311304,-0.0584294,-0.057683744,-0.058028653
H1,30134,0.013179496,0.014243858,0.013296545,0.013135925,0.014511315
H1,30135,0.023604535,0.02500324,0.023997448,0.024199955,0.025078822
H1,30136,-0.022280313,-0.020401493,-0.021456324,-0.022470087,-0.02219586
H1,30137,-0.06618915,-0.067977585,-0.06839405,-0.073577374,-0.07277009
H1,30138,-0.056597956,-0.05532194,-0.054524302,-0.05666177,-0.055670217
H1,30139,0.0123044215,0.013390724,0.013941929,0.012644663,0.013045795
H1,30140,0.03933127,0.03828936,0.039393626,0.0325007,0.030892458
H1,30141,-0.021276101,-0.020897713,-0.018916255,-0.021514244,-0.021836981
