ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
32264,0.03464052,0.03629069,0.035687536,0.038119838,0.035667434
32265,0.04720366,0.047987893,0.04738766,0.047806755,0.04570754
32266,0.0059114546,0.006719947,0.007575959,0.0066595674,0.008619182
32267,-0.06347247,-0.06593107,-0.06562849,-0.06833686,-0.06592376
32268,-0.04598608,-0.04538534,-0.046957158,-0.048145905,-0.0482959
32269,0.048063703,0.049579535,0.048651744,0.049552977,0.049772695
32270,0.07714382,0.07312811,0.071950436,0.0697662,0.07236695
32271,-0.0020143688,-0.0024201423,-0.0042199194,-0.005242735,-0.0038480759
32272,-0.04807289,-0.04610525,-0.048297673,-0.046052635,-0.047945023
32273,-0.03321974,-0.033051208,-0.036305025,-0.034232423,-0.034532905
32274,0.03557907,0.034661204,0.035569116,0.035028577,0.035971925
32275,0.07529583,0.07960348,0.080741815,0.08231551,0.0814241
32276,0.001827456,0.00149698,-9.723753e-05,0.002679022,0.0007071169
