unique_id,ds,RNN-median,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,8100,0.06896703,0.06390413,0.06304021,0.07241441,0.074871436
H1,8101,0.07733312,0.07064223,0.07421778,0.07891078,0.079741895
H1,8102,0.06770331,0.066153295,0.06914288,0.07419446,0.07652633
H1,8103,0.07190345,0.06528193,0.06897235,0.07649666,0.07711953
H1,8104,0.06380319,0.06062849,0.05974482,0.06482527,0.06638113
H1,8105,0.07646063,0.07205059,0.072702765,0.076765984,0.07774973
H1,8106,0.06666142,0.06296942,0.063098386,0.06999095,0.073999345
H1,8107,0.07800235,0.07508785,0.07496403,0.08076514,0.082750045
H1,8108,0.07593361,0.070243225,0.071322694,0.07970958,0.07719806
H1,8109,0.062881984,0.06038016,0.06278014,0.06481396,0.065945536
H1,8110,0.074914604,0.071149185,0.07016744,0.07799935,0.0811781
H1,8111,0.074158296,0.07111806,0.07270284,0.07794306,0.077583134
H1,8112,0.06558406,0.06053149,0.062305573,0.06866026,0.06955841
H1,8113,0.06659347,0.05995942,0.060343035,0.06520912,0.067225575
H1,8114,0.078199804,0.07420128,0.07607551,0.080353655,0.07922531
H1,8115,0.06513758,0.05937663,0.060706902,0.067754135,0.06943039
H1,8116,0.07232106,0.067579105,0.06962076,0.0751899,0.07395372
H1,8117,0.07568483,0.06989774,0.07237219,0.0768711,0.07696827
H1,8118,0.07589198,0.070640296,0.07199155,0.07871705,0.07985121
H1,8119,0.074016064,0.06836833,0.07065871,0.07632342,0.074860685
H1,8120,0.070241086,0.069966644,0.070286736,0.07529592,0.07890822
H1,8121,0.070056975,0.06567088,0.067134365,0.07134201,0.07505229
H1,8122,0.073935464,0.07302607,0.072876975,0.07802203,0.07993479
H1,8123,0.07102313,0.06745878,0.06874177,0.07092363,0.074247256
H1,8124,0.06543523,0.062224597,0.06519131,0.07009192,0.07037456
H1,8125,0.07010332,0.065490015,0.066857815,0.07009415,0.07243501
H1,8126,0.056936916,0.05557761,0.053969774,0.06045407,0.06400039
H1,8127,0.06428266,0.057939176,0.057127934,0.06415191,0.0662785
H1,8128,0.06654763,0.06542187,0.06388659,0.0685515,0.0692323
H1,8129,0.062190365,0.06293646,0.0633467,0.06839973,0.07083391
